COMMUNEID;VILLEID;DESIGNATION;CODE
299;125;COM. GUEOUL;0
300;126;DAROU MARNANE;1
301;126;DAROU MOUSTY;2
302;126;MBADIANE;3
303;126;NDOYENE;4
304;126;SAM YABAL;5
305;126;TOUBA MERINA;6
306;126;MBACKE CADIOR;7
307;127;BADEGNE OUOLOF;1
308;127;DIOKOUL DIAWRIGNE;2
309;127;KAB GAYE;3
310;127;NDANDE;4
311;127;THIEPPE;5
312;128;KANENE NDIOB;1
313;128;LORO;2
314;128;SAGATTA GUETH;3
315;128;THIOLOM FALL;4
316;128;NGOURANE OUOLOF;5
317;129;COM. LINGUERE;0
318;130;COM. DAHRA;0
319;131;COM. MBEULEUKHE;0
320;132;BARKEDJI;1
321;132;GASSANE;2
322;132;THIARGNY;3
323;132;THIEL;4
324;133;DODJI;1
325;133;LABGAR;2
326;133;OUARKHOH;3
327;134;KAMB;1
328;134;MBOULA;2
329;134;TESSEKRE FORAGE;3
330;134;YANG YANG;4
331;135;BOULAL;1
332;135;DEALI;2
333;135;SAGATTA DJOLOF;3
334;135;THIAMENE DJOLOF;4
335;135;AFFE DJOLOFF;5
336;136;COM. LOUGA;0
337;137;COM. NDIAGNE;0
338;138;COKI;1
339;138;PETE OUARACK;2
340;138;THIAMENE CAYOR;3
341;138;GUET ARDO;4
342;139;GANDE;1
343;139;K.MOMAR SARR;2
344;139;NGUER MALAL;3
345;139;SYER;4
346;140;KELLE GUEYE;1
347;140;MBEDIENE;2
348;140;NGUIDILE;3
349;140;NIOMRE;4
350;141;LEONA;1
351;141;NGUEUNE SARR;2
352;141;SAKAL;3
353;142;COM. FATICK;0
354;143;COM. DIOFIOR;0
355;144;COM. DIAKHAO;0
356;145;DIAOULE;1
357;145;MBELACADIAO;2
358;145;NDIOB;3
359;145;THIARE  NDIALGUI;4
360;146;FIMELA;1
361;146;LOUL-SESSENE;2
362;146;PALMARIN FACAO;3
363;146;DJILASSE;4
364;147;NGAYOKHEME;1
365;147;NIAKHAR;2
366;147;PATAR;3
367;148;DIARERE;1
368;148;DIOUROUP;2
369;148;TATTAGUINE;3
370;149;COM. FOUNDIOUGNE;0
371;150;COM. SOKONE;0
372;151;COM. PASSY;0
373;152;COM. KARANG POSTE;0
374;153;COM. SOUM;0
375;154;DJILOR;1
376;154;DIOSSONG;2
377;154;DIAGANE BARKA;3
378;154;MBAM;4
379;154;NIASSENE;5
380;155;BASSOUL;1
381;155;DIONEWAR;2
382;155;DJIRNDA;3
383;156;KEUR S.DIANE;1
384;156;KEUR  SAMBA GUEYE;2
385;156;NIORO ALASSANE TALL;3
386;156;TOUBACOUTA;4
387;157;COM. GOSSAS;0
388;158;COLOBANE;1
389;158;MBAR;2
390;159;NDIENE LAGANE;1
391;159;OUADIOUR;2
392;159;PATAR LIA;3
393;160;COM. KOLDA;0
394;161;COM. DABO;0
395;162;COM. SALIKEGNE;0
396;163;COM. SARE YOBA DIEGA;0
397;164;DIOULACOLON;1
398;164;MEDINA  EL HADJI;2
399;164;TANKANTO ESCALE;3
400;164;GUIRO YERO BOCAR;4
401;165;BAGADADJI;1
402;165;COUMBACARA;2
403;165;MAMPATIM;3
404;165;DIALAMBERE;4
405;165;MEDINA CHERIF;5
406;166;SARE BIDJI;1
407;166;THIETTY;2
408;167;COM. VELINGARA;0
409;168;COM. DIAOUBE- KABENDOU;0
410;169;COM. KOUNKANE;0
411;170;BONCONTO;1
412;170;LINKERING;2
413;170;MEDINA GOUNASS;3
414;170;SINTHIANG  KOUNDARA;4
415;171;OUASSADOU;1
416;171;PAROUMBA;2
417;171;PAKOUR;3
418;172;KANDIA;1
419;172;SARE COLY SALLE;2
420;172;NEMATABA;3
421;172;KANDIAYE;4
422;173;COM. MEDINA YORO FOULAH;0
423;174;COM. PATA;0
424;175;FAFACOUROU;1
425;175;BADION;2
426;176;NDORNA;1
427;176;BIGNARABE;2
428;176;BOUROUCO;3
429;176;KOULINTO;4
430;177;DINGUIRAYE;1
431;177;KEREWANE;2
432;177;NIAMING;3
433;178;COM .MATAM;0
434;179;COM. OUROSSOGUI;0
435;180;COM. THILOGNE;0
436;181;COM. NGUIDILOGNE;0
437;182;AGNAM-CIVOL;1
438;182;OREFONDE;2
439;182;DABIA;3
440;183;BOKIDIAWE;1
441;183;NABADJI-CIVOL;2
442;183;OGO;3
443;184;COM. KANEL;0
444;185;COM. SEMME;0
445;186;COM. WAOUNDE;0
446;187;COM. DEMBANCANE;0
